stationName,Longitude,Latitude,totalDocks
Lexington Ave & E 29 St,-73.98215353,40.74311555,30
E 23 St & 1 Ave,-73.97809472,40.736502,27
E 30 St & Park Ave S,-73.98303529,40.74444921,45
Front St & Washington St,-73.98940236,40.70255088,30
Wythe Ave & Metropolitan Ave,-73.963198,40.716887,27
1 Ave & E 18 St,-73.98054421,40.73381219,54
Railroad Ave & Kay Ave,-73.97100056,40.70531194,12
Central Park S & 6 Ave,-73.97634151,40.76590936,49
Little West St & 1 Pl,-74.01677685,40.70569254,24
Catherine St & Monroe St,-73.99682619,40.71117444,35
E 27 St & 1 Ave,-73.976806,40.739445,36
E 43 St & 2 Ave,-73.97121414,40.75022392,39
W 45 St & 8 Ave,-73.98859651,40.75929124,43
E 60 St & York Ave,-73.959223,40.759107,33
South End Ave & Liberty St,-74.015756,40.711512,25
Kent Ave & N 7 St,-73.96165073,40.72036775,54
Kingston Ave & Herkimer St,-73.94142771,40.67890679,24
Fulton St & Utica Ave,-73.9298911,40.6794268,19
Lewis Ave & Decatur St,-73.934903,40.6814598,19
Albany Ave & Fulton St,-73.938475,40.6800105,27
Marcus Garvey Blvd & Macon St,-73.938037,40.682601,19
Halsey St & Tompkins Ave,-73.944118,40.6823687,21
Putnam Ave & Nostrand Ave,-73.94977,40.68402,19
Cambridge Pl & Gates Ave,-73.96304,40.68488,18
Putnam Ave & Throop Ave,-73.94111,40.6851532,21
Lewis Ave & Madison St,-73.935775,40.686312,23
Marcy Ave & Lafayette Ave,-73.947915,40.6900815,23
Greene Ave & Throop Ave,-73.942061,40.6894932,19
Greene Ave & Nostrand Ave,-73.950916,40.6883337,23
Kosciuszko St & Nostrand Ave,-73.95133465,40.69072549,23
Kosciuszko St & Tompkins Ave,-73.9452416,40.69128258,18
Lewis Ave & Kosciuszko St,-73.93705428,40.69237074,23
Pulaski St & Marcus Garvey Blvd,-73.939877,40.6933982,19
Willoughby Ave & Tompkins Ave,-73.94626915,40.69425403,19
Throop Ave & Myrtle Ave,-73.94371094,40.69622937,21
Myrtle Ave & Marcy Ave,-73.94954908,40.69539817,23
Nostrand Ave & Myrtle Ave,-73.95238108,40.69527008,20
Myrtle Ave & Lewis Ave,-73.93756926,40.69681963,23
Union Ave & Wallabout St,-73.95032283,40.70029511,31
Tompkins Ave & Hopkins St,-73.94708417,40.69957608,19
Broadway & Whipple St,-73.9437303,40.7016657,27
Humboldt St & Varet St,-73.940636,40.7031724,42
Lorimer St & Broadway,-73.94818595,40.70411791,29
McKibbin St & Manhattan Ave,-73.94407279,40.70510918,23
Boerum St & Broadway,-73.94976519,40.70538077,19
Leonard St & Boerum St,-73.94644578,40.70583339,24
Montrose Ave & Bushwick Ave,-73.94016171,40.70767788,42
Division Ave & Marcy Ave,-73.95796783,40.70708701,33
Scholes St & Manhattan Ave,-73.9448625,40.70870368,36
Stagg St & Union Ave,-73.95095259,40.70877084,33
Broadway & Roebling St,-73.96063149,40.70924826,27
S 4 St & Rodney St,-73.95608,40.70934,21
Graham Ave & Grand St,-73.944024,40.711863,29
Hope St & Union Ave,-73.95141312,40.71167351,25
Bushwick Ave & Powers St,-73.94100005,40.71247661,32
Roebling St & N 4 St,-73.95739,40.71469,25
Graham Ave & Conselyea St,-73.944507,40.715143,30
Metropolitan Ave & Meeker Ave,-73.95234386,40.71413311,30
Union Ave & Jackson St,-73.952029,40.7160751,19
N 6 St & Bedford Ave,-73.95850939,40.71745169,28
Graham Ave & Withers St,-73.94485918,40.7169811,18
Graham Ave & Herbert St,-73.94500379,40.71929301,26
Union Ave & N 12 St,-73.95242,40.71924,39
Nassau Ave & Newell St,-73.94752622,40.72481256,51
N 12 St & Bedford Ave,-73.95484712,40.72079821,27
Driggs Ave & Lorimer St,-73.9504154,40.72179134,27
N 15 St & Wythe Ave,-73.955736,40.724055,24
Driggs Ave & N Henry St,-73.94308,40.72325,22
Bedford Ave & Nassau Ave,-73.95212324,40.72311651,39
Nassau Ave & Russell St,-73.94434,40.72557,51
Banker St & Meserole Ave,-73.95621,40.72606,31
Meserole Ave & Manhattan Ave,-73.95299117,40.72708584,28
Milton St & Franklin St,-73.95779,40.72906,33
Greenpoint Ave & Manhattan Ave,-73.95394,40.73026,27
Huron St & Franklin St,-73.95826,40.73266,35
Franklin St & Dupont St,-73.95866,40.73564,27
McGuinness Blvd & Eagle St,-73.95284,40.73555,42
Vernon Blvd & 50 Ave,-73.95411749,40.74232744,45
Jackson Ave & 46 Rd,-73.94733276,40.74524768,27
48 Ave & 5 St,-73.95587325,40.74436329,31
31 St & Thomson Ave,-73.93540375,40.74469738,27
46 Ave & 5 St,-73.95451,40.74731,27
45 Rd & 11 St,-73.94977234,40.74708586,23
44 Dr & Jackson Ave,-73.9432635,40.74718234,34
9 St & 44 Rd,-73.9521,40.74966,35
