Business Name,Longitude,Latitude
"PYUN CLEANERS, INC.",-73.95392514,40.78178897
116 STREET LAUNDROMAT AND DRY CLEANING INC,-73.95386658,40.80377424
MS. BUBBLE LAUNDRY INC.,-73.95384678,40.81671011
"BABY GIRL'S BUBBLES & CLEANERS, INC.",-73.95380687,40.80654089
FLUFF-N-FOLD LAUNDRY SERVICES LLC,-73.95359801,40.76933322
SUN BEST SERVICES INC.,-73.95349559,40.771249
"MULAN, INC.",-73.9533082,40.78105313
"JOO, KWANG-SUCK",-73.95327624,40.77513547
"CHI, DE MING",-73.95323853,40.78771183
JESSICA PARK,-73.95309733,40.7677246
"33 CONVENT LAUNDROMAT, INC.",-73.95307552,40.81403918
1605 INC.,-73.95302641,40.77613445
"NY YOUME CLEANERS, INC.",-73.95300253,40.77927991
"SALEH, AHMED M",-73.95294451,40.81029258
"LEXINGTON STAR CLEANERS, INC.",-73.95291673,40.78317191
"MAX J. CLEANERS, INC.",-73.95283404,40.76736493
"HWANG, KEE CHUNG",-73.9528239,40.77149576
"M. I LAUNDROMAT 78, INC.",-73.9528239,40.77149576
SAME DAY LAUNDROMAT INC,-73.95260949,40.81912221
DEREK'S LAUNDROMAT INC,-73.952525,40.80081213
LEMON LAUNDROMAT INC.,-73.95243313,40.82323098
"BIRDHAR, INC.",-73.9524208,40.77479202
COMPLETE CARE CLEANERS INC.,-73.95227901,40.7811872
FANG CLEANER NY INC,-73.95227884,40.77639215
MING CLEANER & ALTERATION INC,-73.95212008,40.77121825
"ZHAO, QIANG",-73.95212008,40.77121825
"YUEN, WANDA B Y",-73.95199376,40.7711633
"ZHAN, JIAN AI",-73.95195815,40.78048442
JIA LIN GU,-73.95195815,40.78048442
CLEAN ACTION LAUNDROMAT INC,-73.95194093,40.82436709
3476 BROADWAY LAUNDROMAT INC,-73.95194093,40.82436709
"IPANEMA LAUNDRY, INC.",-73.95183999,40.79907718
GOOD LOOKING LIN LAUNDROMAT INC,-73.95157212,40.78500758
1457 INC.,-73.95123983,40.77030663
"IPANEMA LAUNDRY, INC.",-73.95101928,40.80021041
"EVERGREEN 238/58 LAUNDRY & CLEANERS, INC.",-73.95099015,40.78089846
"SY, KO-FUNG",-73.95096995,40.77891675
"LEE WASH & DRY LAUNDROMAT (A), INC",-73.95094892,40.80256535
TLR LLC,-73.95094892,40.80256535
"CHOW, ALEXANDER",-73.95085433,40.77412988
PYRAMID PARTNERS CORP.,-73.95085185,40.77748944
444 INC.,-73.95051929,40.77313889
"PAN, CALVIN KW",-73.95049706,40.78361279
SUPER WASH 85 CORP.,-73.95041646,40.77547187
"JCK HOLDING CO, INC.",-73.95035759,40.78663194
BANACO LLC,-73.950166,40.7868981
SUPER LAUNDRY EQUIPMENT CORP.,-73.95010732,40.82183568
THE MAT WEST CORP.,-73.9500663,40.7802009
THE MAT WEST CORP.,-73.9500663,40.7802009
"YORKVILLE LAUNDROMAT, INC.",-73.9500663,40.7802009
STYLE CLEANER & LAUNDRY CORP,-73.94999401,40.78029968
"CHEN, DE QIANG",-73.94997643,40.77966839
2037 SEVENTH AVENUE LAUNDROMAT LLC,-73.94983315,40.8068933
ROOSEVELT ISLAND CLEANER INC.,-73.94945871,40.76246139
NEW ONE DAY LAUNDROMAT INC,-73.94926825,40.82293869
"JORGE'S LAUNDRY, INC.",-73.94926825,40.82293869
"LCR 7TH AVENUE, LLC",-73.94909548,40.80790304
"SUPER 1665 LAUNDROMAT, INC.",-73.94907916,40.77729928
"DOBBINS, AKIE",-73.94906918,40.78090586
"BUBBLY BOB'S FAMILY LAUNDROMAT, INC.",-73.94905932,40.80795243
"ROBINSON, LEROY",-73.94896557,40.80302011
"WP & M NYC, INC",-73.94890157,40.77347304
W P & N ENTERPRISES INC,-73.94890157,40.77347304
3607 BROADWAY REALTY LLC,-73.94888453,40.82859264
1590 CORP.,-73.94872698,40.78921677
BLISS CLEANERS INC.,-73.94866129,40.78073551
CLEAN RITE WHOLESALE LAUNDRY INC.,-73.94866129,40.78073551
LAM EASTSIDE LAUNDRY INC,-73.94862374,40.77792488
"CHEN, FATT H",-73.94862374,40.77792488
THANG QUAY LAM,-73.94862374,40.77792488
"140 GREEN LAUNDROMAT, INC.",-73.94860965,40.82425861
NEW YORK RELIABLE LAUNDRY & CLEANERS INC.,-73.94856244,40.77314352
"MISR CLEANING CENTER, CORP.",-73.94855783,40.79781044
TENDA 8 LAUNDROMAT INC,-73.94837379,40.82554578
"METRO WASH, INC.",-73.94837379,40.82554578
OLD BROADWAY LAUNDROMAT CORP,-73.94821895,40.82950633
1717 1ST AVE. CORP.,-73.94807795,40.77866846
1717 1ST AVE. CORP.,-73.94807795,40.77866846
A & F LAUNDROMAT CORP.,-73.94788758,40.79584766
"NIKY'S LAUNDRY PLACE, INC.",-73.94788758,40.79584766
SPARKLE INDUSTRIES INC,-73.9478813,40.79002883
"R & C 1625 LAUNDRY, LLC",-73.9478813,40.79002883
